timea,timeb,winner
loud,furia,loud
miners,fla,miners
kabum,intz,kabum
pain,liberty,pain
rensga,red,red
liberty,rensga,liberty
red,loud,red
intz,miners,miners
fla,furia,furia
pain,kabum,kabum
red,liberty,liberty
miners,pain,miners
kabum,rensga,kabum
furia,intz,furia
loud,fla,loud
red,kabum,red
liberty,loud,liberty
furia,pain,furia
rensga,miners,rensga
intz,fla,intz
miners,red,red
loud,intz,loud
kabum,liberty,kabum
fla,pain,pain
kabum,loud,kabum
red,furia,furia
pain,intz,intz
liberty,miners,liberty
intz,rensga,rensga
fla,red,fla
furia,liberty,furia
loud,pain,loud
miners,kabum,kabum
liberty,fla,liberty
kabum,furia,furia
miners,loud,loud
red,intz,red
resnga,pain,pain
furia,miners,furia
pain,red,red
fla,kabum,kabum
loud,rensga,loud
intz,liberty,liberty
red,rensga,red
intz,kabum,intz
liberty,pain,liberty
fla,miners,miners
furia,loud,loud
furia,fla,furia
loud,red,red
rensga,liberty,rensga
kabum,pain,pain
miners,intz,miners
fla,loud,fla
intz,furia,furia
pain,miners,pain
liberty,red,red
rensga,kabum,kabum
furia,pain,furia
loud,liberty,loud
fla,intz,fla
miners,rensga,miners
kabum,red,kabum
